Timestamp,Memory_Usage_%,Memory_Used_MB,Disk_Usage_%,CPU_Usage_%,Net_In_KB/s,Net_Out_KB/s,gpu_0_util_%,gpu_0_mem_used_mb,gpu_0_mem_total_mb,gpu_1_util_%,gpu_1_mem_used_mb,gpu_1_mem_total_mb,gpu_2_util_%,gpu_2_mem_used_mb,gpu_2_mem_total_mb,gpu_3_util_%,gpu_3_mem_used_mb,gpu_3_mem_total_mb
2026-04-09 00:04:05,17.48,45022.0,46.0,28.4,0,0,11,6221,49140,0,4423,49140,0,23513,49140,3,22595,49140
2026-04-09 00:04:11,17.46,44982.0,46.0,17.9,0,0,5,6221,49140,41,4423,49140,0,23513,49140,4,22595,49140
2026-04-09 00:04:18,17.47,44991.0,46.0,11.5,0,0,4,6221,49140,0,4423,49140,0,23513,49140,4,22595,49140
2026-04-09 00:04:24,17.47,44996.0,46.0,8.7,0,0,5,6221,49140,11,4423,49140,0,23513,49140,2,22597,49140
2026-04-09 00:04:31,17.47,44999.0,46.0,14.8,0,0,12,6221,49140,92,4423,49140,0,23513,49140,16,25445,49140
2026-04-09 00:04:37,17.48,45013.0,46.0,8.3,0,0,19,6221,49140,28,4423,49140,0,23513,49140,3,25443,49140
2026-04-09 00:04:44,17.47,44984.0,46.0,15.4,0,0,5,6221,49140,99,4423,49140,0,23513,49140,44,25445,49140
2026-04-09 00:04:50,17.46,44958.0,46.0,14.8,0,0,5,6221,49140,25,4423,49140,0,23513,49140,4,25445,49140
2026-04-09 00:04:57,17.46,44958.0,46.0,26.7,0,0,3,6221,49140,0,4423,49140,0,23513,49140,4,25443,49140
2026-04-09 00:05:03,17.47,45008.0,46.0,17.2,0,0,3,6221,49140,13,4423,49140,0,23513,49140,2,25443,49140
2026-04-09 00:05:09,17.47,44988.0,46.0,16.9,0,0,28,6221,49140,20,4423,49140,0,23513,49140,3,25443,49140
2026-04-09 00:05:16,17.46,44960.0,46.0,10.7,0,0,9,6221,49140,0,4423,49140,0,23513,49140,3,25443,49140
2026-04-09 00:05:22,17.45,44954.0,46.0,9.2,0,0,3,6221,49140,0,4423,49140,0,23513,49140,3,25443,49140
2026-04-09 00:05:29,17.45,44951.0,46.0,18.1,0,0,3,6221,49140,99,4423,49140,0,23513,49140,4,25443,49140
